鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
南屯區,房地(土地+建物),臺中市南屯區大墩一街２３９號,40.1,住,,,1110304,土地1建物1車位0,一層，二層，騎樓,七層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0810117,226.18,2,2,2,有,有,17800000,78698,,0.0,0,其他增建；,RPOPMLSKLHHGFCB67DA,168.55,8.91,6.02,有,
西屯區,房地(土地+建物)+車位,臺中市西屯區市政北二路８號十七樓之１,26.21,都市：其他:第六種新市政中心專用區,,,1110301,土地1建物1車位2,十七層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1030929,443.85,3,2,4,有,有,56000000,126169,坡道平面,39.58,0,含傢俱設備費；,RPTPMLPKLHHGFCB87DA,215.32,5.58,51.74,有,
西屯區,土地,順和段699地號,3811.38,工,,,1101027,土地9建物0車位0,,,其他,,,,0.0,0,0,0,有,無,152188080,39930,,0.0,0,具重建或重劃、都更等效益；,RPPSMLQKLHHGFCB87DA,0.0,0.0,0.0,無,
西屯區,土地,順和段694-1地號,1022.4,都市：其他:乙種工業區,,,1101210,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,43342300,42393,,0.0,0,具重建或重劃、都更等效益；,RPQSMLQKLHHGFCB97DA,0.0,0.0,0.0,無,
西屯區,土地,順和段692-5地號,558.14,工,,,1101210,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,23657700,42387,,0.0,0,具重建或重劃、都更等效益；,RPRSMLQKLHHGFCB08DA,0.0,0.0,0.0,無,063
西屯區,房地(土地+建物)+車位,臺中市西屯區文華路７８號,30.82,住,,,1110218,土地1建物1車位1,一層,十四層,店面(店鋪),商業用,鋼筋混凝土造,0940704,145.88,1,1,1,有,有,28000000,191939,坡道平面,0.0,0,,RPWNMLKKLHHGFCB47DA,79.91,0.0,10.5,有,
西屯區,房地(土地+建物)+車位,臺中市西屯區寶慶街７號三樓之２,17.6,商,,,1110226,土地1建物1車位1,三層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100722,182.9,3,2,2,有,有,23000000,137240,坡道平面,28.79,1850000,,RPXPMLOKLHHGFCB18DA,81.69,0.0,19.74,有,
西屯區,土地,東林段757地號,2152.56,農,,,1110315,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,74880000,34786,,0.0,0,,RPWQMLOKLHHGFCB18DA,0.0,0.0,0.0,無,064
西屯區,房地(土地+建物),臺中市西屯區福瑞街２７巷１１號五樓之２６,5.76,住,,,1110304,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830316,30.77,1,0,1,有,無,1500000,48749,,0.0,0,,RPQOMLQKLHHGFCB57DA,17.2,0.0,2.75,有,
西屯區,房地(土地+建物)+車位,臺中市西屯區福順路１４２號七樓之１,26.88,住,,,1110316,土地1建物1車位1,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860131,154.72,3,2,2,有,有,9700000,62694,坡道機械,0.0,0,,RPTOMLQKLHHGFCB87DA,93.99,0.0,16.46,有,
南屯區,房地(土地+建物),臺中市南屯區大進街６５５號五樓之３,4.64,住,,,1110217,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821022,33.33,1,0,1,有,有,2300000,69007,,0.0,0,,RPUPMLLKLHHGFCB57DA,22.01,0.0,0.0,有,
南屯區,房地(土地+建物),臺中市南屯區保安五街１３０號,14.07,住,,,1110221,土地1建物1車位0,一層，見其他登記事項,十二層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0960208,98.09,2,2,1,有,有,11500000,117239,,0.0,0,,RPWPMLRJLHHGFCB28DA,79.68,0.0,0.0,有,
北屯區,房地(土地+建物),臺中市北屯區文心路四段８２１號７樓之６　　,2.43,商,,,1110226,土地1建物1車位0,七層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850627,41.78,1,1,1,有,有,3950000,94543,,0.0,0,,RPWNMLRJMHHGFBB08DA,24.25,0.0,3.47,有,065
西屯區,房地(土地+建物)+車位,臺中市西屯區福聯街３５號十樓之１,16.36,住,,,1110303,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831026,109.53,3,2,2,有,有,7000000,63904,坡道機械,0.0,700000,含租約；,RPSPMLNJLHHGFCB47DA,78.0,0.0,10.14,有,
